"Row.names","mw","HDD_C","CDD_C","CP"
"2005-01-01",101634.358,5.7,0,12.3300081946445
"2005-01-02",106812.483,12.35,0,15.9131569239648
"2005-01-03",119502.819,4.5,0,8.28640001714722
"2005-01-04",122397.931,6.5,0,12.0908816254233
"2005-01-05",126375.336,11.2,0,21.9473394416741
"2005-01-06",132037.452,13.45,0,22.7018709361145
"2005-01-07",127719.896,11.55,0,29.2193052469765
"2005-01-08",120590.492,11.55,0,23.9574057298769
"2005-01-09",112115.191,12.4,0,16.9216982993237
"2005-01-10",126280.282,9.9,0,23.3914125513454
"2005-01-11",129955.524,12.7,0,23.6472297877759
"2005-01-12",129322.354,11.7,0,25.1562909613684
"2005-01-13",125548.662,5.85,0,11.3635111742763
"2005-01-14",124960.509,3.8,0,13.8222556926246
"2005-01-15",119216.998,16.85,0,32.6384589440127
"2005-01-16",116665.246,17.1,0,38.5690134954459
"2005-01-17",132110.094,19.6,0,53.9350854913227
"2005-01-18",145207.646,25.4,0,82.8258179149548
"2005-01-19",146086.094,23.7,0,40.6902218942735
"2005-01-20",139379.221,19.35,0,53.0952339857355
"2005-01-21",142788.983,25.45,0,66.4810805977159
"2005-01-22",136982.982,25.75,0,66.1678190659472
"2005-01-23",127166.357,23.2,0,77.7752907862841
"2005-01-24",144008.363,24.05,0,58.207944914157
"2005-01-25",136870.373,18.2,0,36.7904088048659
"2005-01-26",134197.77,17.1,0,34.5322049010802
"2005-01-27",143466.785,24.6,0,64.0808558644467
"2005-01-28",143813.869,24.6,0,45.0187082888881
"2005-01-29",129979.225,21.55,0,29.0696
"2005-01-30",118940.438,14.65,0,30.3928544028836
"2005-01-31",133516.864,17.4,0,29.9027203150483
"2005-02-01",134347.462,17.95,0,0
"2005-02-02",132663.897,16.85,0,18.6853540592626
"2005-02-03",131707.753,16,0,19.1180394737055
"2005-02-04",129023.258,9.35,0,23.327146430329
"2005-02-05",113053.457,8.6,0,16.8902104628594
"2005-02-06",108684.309,9.3,0,13.5391556605277
"2005-02-07",124012.407,10.15,0,11.6928571428571
"2005-02-08",124313.891,8.5,0,11.8041500498765
