"TO_C","TE_C","Tt_C","HDD_C","CDD_C","Tmin_C","Tmax_C","Precip_in","Humidity_pct","WindSpeed_MPH","CP"
"2005-01-01",8.252,8.252,7.8,5.7,0,1.7,13.9,0,67.28,5.52,12.3300081946445
"2005-01-02",2.70344827586207,5.47772413793104,1.15,12.35,0,-3.3,5.6,0,78.2758620689655,2.17241379310345,15.9131569239648
"2005-01-03",8.85454545454545,7.16613479623824,9,4.5,0,5,13,0.56,91.8181818181818,3.18181818181818,8.28640001714722
"2005-01-04",6.962,7.06406739811912,7,6.5,0,5,9,0.13,95.4,3.42,12.0908816254233
"2005-01-05",1.39661016949153,4.23033878380532,2.3,11.2,0,-1,5.6,0.33,93.9322033898305,3.28813559322034,21.9473394416741
"2005-01-06",0.26,2.24516939190266,0.05,13.45,0,-1,1.1,0.54,99.18,2.94,22.7018709361145
"2005-01-07",1.45925925925926,1.85221432558096,1.95,11.55,0,0,3.9,0,72.3703703703704,5.88888888888889,29.2193052469765
"2005-01-08",1.28867924528302,1.57044678543199,1.95,11.55,0,0,3.9,0.6,97.2264150943396,3.84905660377358,23.9574057298769
"2005-01-09",1.33,1.450223392716,1.1,12.4,0,0,2.2,0,76.3666666666667,1.93333333333333,16.9216982993237
"2005-01-10",3.28275862068966,2.36649100670282,3.6,9.9,0,-0.6,7.8,0,79.1724137931034,5.24137931034483,23.3914125513454
"2005-01-11",0.425423728813559,1.39595736775819,0.8,12.7,0,-0.6,2.2,0.44,93.3898305084746,3.27118644067797,23.6472297877759
"2005-01-12",1.77674418604651,1.58635077690235,1.8,11.7,0,0.6,3,0.06,100,4.6046511627907,25.1562909613684
"2005-01-13",4.94210526315789,3.26422802003012,7.65,5.85,0,2,13.3,0,99.8421052631579,1.76315789473684,11.3635111742763
"2005-01-14",9.05576923076923,6.15999862539968,9.7,3.8,0,-0.6,20,0.92,82.1923076923077,9.67307692307692,13.8222556926246
"2005-01-15",-3.332,1.41399931269984,-3.35,16.85,0,-5.6,-1.1,0,56.04,3.76,32.6384589440127
"2005-01-16",-3.62222222222222,-1.10411145476119,-3.6,17.1,0,-6.1,-1.1,0,61.5555555555556,5.07407407407407,38.5690134954459
"2005-01-17",-5.41794871794872,-3.26103008635496,-6.1,19.6,0,-8.9,-3.3,0,65.6923076923077,8.12820512820513,53.9350854913227
"2005-01-18",-11.725,-7.49301504317748,-11.9,25.4,0,-14.4,-9.4,0,49.03125,10.78125,82.8258179149548
"2005-01-19",-8.28444444444445,-7.88872974381096,-10.2,23.7,0,-14.4,-6,0.02,76.2888888888889,3.48888888888889,40.6902218942735
"2005-01-20",-5.272,-6.58036487190548,-5.85,19.35,0,-8.9,-2.8,0,59.12,8,53.0952339857355
"2005-01-21",-11.556,-9.06818243595274,-11.95,25.45,0,-15,-8.9,0,41.64,7.04,66.4810805977159
"2005-01-22",-11.8540540540541,-10.4611182450034,-12.25,25.75,0,-16.7,-7.8,0.18,77.7027027027027,6.81081081081081,66.1678190659472
"2005-01-23",-8.93191489361702,-9.69651656931021,-9.7,23.2,0,-14.4,-5,0,69.3829787234042,12.0212765957447,77.7752907862841
"2005-01-24",-9.59032258064516,-9.64341957497768,-10.55,24.05,0,-15,-6.1,0.02,66.0322580645161,6.35483870967742,58.207944914157
